# bin_edges hist err
5.945570708544394139e-07 6.726169309368713130e+02 2.378059965031726790e+02
1.077105056036769012e-06 3.573584181948675905e+03 4.072477134019147798e+02
1.951293422635962419e-06 4.867459837722190628e+02 1.116671870756521798e+02
3.534981105030109478e-06 2.276722689657246065e+03 1.794308843839550036e+02
6.404004271197283230e-06 1.561168353929605473e+03 1.103912729637464025e+02
1.160155301739971416e-05 2.223335124392614944e+03 9.787687126685356986e+01
2.101748011332487198e-05 1.833770953592946171e+03 6.604164773135866540e+01
3.807546021222368024e-05 1.701497035251057468e+03 4.726380653475159477e+01
6.897785379387658198e-05 1.508837273887274478e+03 3.306755173066088815e+01
1.249609141291986841e-04 9.336799109252900735e+02 1.932624980373075019e+01
2.263803409521446481e-04 3.402791078546698600e+02 8.668300654554400353e+00
4.101127070551300138e-04 2.055065653659544012e+02 5.004917416332935964e+00
7.429639507594950265e-04 2.183324638047908195e+02 3.832754172365398837e+00
1.345960324155364221e-03 5.719523111448917518e+01 1.457469445056265078e+00
2.438354098268826452e-03 3.005443393335596980e+01 7.849492293582833735e-01
4.417344703140064534e-03 1.686150495712876562e+01 4.368206898104705083e-01
8.002502278161051363e-03 8.039408504286548407e+00 2.240963708964227308e-01
1.449740670372631594e-02 4.079113395913512186e+00 1.185969188485638398e-01
2.626363527653330018e-02 2.672290240232072733e+00 7.131815043328576520e-02
4.757944314009413672e-02 6.440394584290116686e-01 2.601250872438626988e-02
8.619535664753032178e-02 3.201301390180014694e-01 1.362564357658899161e-02
1.561523006000496427e-01 1.712682070961983327e-01 7.404570293898409157e-03
2.828869434625966850e-01 6.803293116740952162e-02 3.467279229473956524e-03
5.124805876960926154e-01 2.282494788014446593e-02 1.492113520994806314e-03
9.284145445194744717e-01 1.238389488347307801e-03 2.582220585371795070e-04
