# bin_edges hist err
1.000000000000000021e-02 3.658137071940463780e+00 2.682276239763649039e-01
1.847849797422290719e-02 2.043532704272607248e+00 1.474792696136992265e-01
3.414548873833600506e-02 1.439970867257057474e+00 9.107175409640559660e-02
6.309573444801933051e-02 9.974634911669799653e-02 1.763282996475448727e-02
1.165914401179831694e-01 1.695299467151651251e+00 5.347655164132627398e-02
2.154434690031883370e-01 2.079540662650642524e+00 4.357030067371393811e-02
3.981071705534973137e-01 9.495119038129749001e-01 2.165826793559688310e-02
8.576958985908937905e+00 3.026827201955949957e-03 2.634514921497176760e-04
