# bin_edges hist err
5.945570708544394139e-07 6.792306667376271889e+02 2.401443052200180546e+02
1.077105056036769012e-06 3.608722669480127934e+03 4.112521156969188496e+02
1.951293422635962419e-06 4.656619705021602158e+02 1.097575790275891876e+02
3.534981105030109478e-06 2.299109343439520217e+03 1.811951998646232198e+02
6.404004271197283230e-06 1.576519075207182595e+03 1.114767328748943527e+02
1.160155301739971416e-05 2.236494513415587789e+03 9.864754408678473396e+01
2.101748011332487198e-05 1.839793040126419328e+03 6.647442460056345226e+01
3.807546021222368024e-05 1.707621243111891772e+03 4.758100570585484945e+01
6.897785379387658198e-05 1.520014273841426757e+03 3.335257872775193277e+01
1.249609141291986841e-04 9.347812834579549417e+02 1.943248454126603519e+01
2.263803409521446481e-04 3.376043335093503401e+02 8.676510067493506284e+00
4.101127070551300138e-04 2.045731539233085243e+02 5.018028586425302251e+00
7.429639507594950265e-04 2.187127402461051133e+02 3.854904234360696957e+00
1.345960324155364221e-03 5.700752377055139419e+01 1.462212132364139272e+00
2.438354098268826452e-03 3.006011857035857915e+01 7.888735249303906460e-01
4.417344703140064534e-03 1.682160252216327478e+01 4.384433241762358269e-01
8.002502278161051363e-03 7.992297760491377190e+00 2.245346384444274757e-01
1.449740670372631594e-02 4.070474474872321835e+00 1.190522972783097239e-01
2.626363527653330018e-02 2.679345888377191898e+00 7.176247280629242942e-02
4.757944314009413672e-02 6.461283322156556874e-01 2.618244130448933032e-02
8.619535664753032178e-02 3.226922795752811268e-01 1.374715329697031446e-02
1.561523006000496427e-01 1.693962324822042842e-01 7.400108775139907849e-03
2.828869434625966850e-01 6.816654882072584187e-02 3.487704047635970580e-03
5.124805876960926154e-01 2.265537544970091383e-02 1.493851218898307933e-03
9.284145445194744717e-01 1.087449022728985675e-03 2.431609936887725652e-04
