# bin_edges hist err
6.158482110660267253e-03 6.822514071405033631e-01 8.958399858514573544e-02
1.128837891684688829e-02 1.854626216368164160e+00 1.090956597863625976e-01
2.069138081114789071e-02 2.597793120214898277e+00 9.536798566220561213e-02
3.792690190732250083e-02 5.787425197476505634e-01 3.324788904507069986e-02
1.274274985703133523e-01 1.600883112370852457e+00 3.016777623267317271e-02
2.335721469090121238e-01 2.065275974934934311e+00 2.530891839746482463e-02
4.281332398719391308e-01 9.448363494468684509e-01 1.264398256057542615e-02
8.858667904100823165e+00 9.894801357682048853e-04 8.995273961529135691e-05
