# bin_edges hist err
1.978318882784162123e-05 4.408870400688036284e+02 1.394207237467338700e+02
6.528521141127846680e-05 2.672014496662110901e+02 5.974806051401364471e+01
1.185971012337669371e-04 2.868231242694933485e+02 4.592845735788105088e+01
2.154434690031882321e-04 8.096928262234993667e+01 1.810528200329668991e+01
3.913745601980383993e-04 8.245799311983564905e+01 1.355601056413309990e+01
7.109709432312431160e-04 9.691675591372295173e+01 1.090398694755303666e+01
1.291549665014882697e-03 6.685712740032745671e+01 6.719394125693191278e+00
2.346228848142262267e-03 4.758424998733375588e+01 4.205893230464948118e+00
4.262158829015320199e-03 3.908655251549780729e+01 2.828203680864283420e+00
7.742636826811269413e-03 2.343139121968176397e+01 1.624674663423448129e+00
1.406527242105236331e-02 1.370464387930892691e+01 9.218741089019197865e-01
2.555097090352506997e-02 4.983897220034799069e+00 4.124702687489771313e-01
4.641588833612772524e-02 1.634843613672086082e+00 1.752736330717360735e-01
8.431909292866250627e-02 4.034245379507774287e-01 6.459962646172830170e-02
1.531740463702079835e-01 2.277710035641076214e-01 3.601375781024548917e-02
2.782559402207120391e-01 7.836446868403715293e-02 1.567289373680743128e-02
5.054796821191235301e-01 1.898071685443372333e-02 5.722901459830132161e-03
