# bin_edges hist err
5.945570708544394139e-07 3.525424682884362824e+02 1.762712341442181412e+02
1.077105056036769012e-06 2.919027481896037557e+02 1.191687979301092355e+02
1.951293422635962419e-06 1.074193224175442225e+02 5.370966120877211125e+01
3.534981105030109478e-06 5.484785214952735259e+02 9.016931349256260830e+01
6.404004271197283230e-06 4.418624994117027995e+02 6.012987000163911233e+01
1.160155301739971416e-05 5.329799554420532104e+02 4.906478188285335307e+01
2.101748011332487198e-05 4.787023742154016759e+02 3.454736807687189071e+01
3.807546021222368024e-05 5.078391787756863778e+02 2.643705166127309880e+01
6.897785379387658198e-05 5.196266567666331184e+02 1.986842180013727344e+01
1.249609141291986841e-04 4.612787939209476349e+02 1.390807893803140516e+01
2.263803409521446481e-04 4.365640569319581914e+02 1.005257061305626998e+01
4.101127070551300138e-04 3.026961051408668482e+02 6.219053637138060253e+00
7.429639507594950265e-04 1.474793751166374136e+02 3.225182334795970274e+00
1.345960324155364221e-03 7.366036591299275926e+01 1.693453616546147567e+00
2.438354098268826452e-03 4.274477219084554491e+01 9.584415112783983837e-01
4.417344703140064534e-03 2.309668541306449541e+01 5.234397300907981387e-01
8.002502278161051363e-03 1.398031866704804571e+01 3.025646117400094814e-01
1.449740670372631594e-02 7.641166417245156772e+00 1.661908720954617669e-01
2.626363527653330018e-02 2.037116663471070677e+00 6.375335293436464046e-02
4.757944314009413672e-02 1.104654779850177126e+00 3.487997055057552587e-02
8.619535664753032178e-02 5.921341160013773308e-01 1.897320090279107710e-02
1.561523006000496427e-01 1.184598875931433398e-01 6.304983632641388176e-03
2.828869434625966850e-01 1.200347799249459474e-01 4.715411492398007866e-03
5.124805876960926154e-01 4.631970454850394686e-02 2.176289564402025638e-03
9.284145445194744717e-01 1.411052170435986601e-03 2.822104340871973093e-04
5.519954321281573151e+00 4.271909344438016144e-04 6.368186458586644425e-05
