# bin_edges hist err
1.811609194200413337e-06 2.268216328164378126e+02 1.603871146843083011e+02
1.077105056036769139e-05 7.629936432863271989e+01 3.814968216431635994e+01
1.951293422635962165e-05 6.317535087553068962e+01 2.579122899439011718e+01
3.534981105030109394e-05 1.162416836879554083e+01 8.219528279229495027e+00
6.404004271197282383e-05 6.737312233956937746e+01 1.470202061555223771e+01
1.160155301739971450e-04 5.312807968521973123e+01 9.699815893508937137e+00
2.101748011332486995e-04 1.075303434479338982e+01 3.242161843589526526e+00
3.807546021222371819e-04 1.888608221768270923e+01 3.192330548285423841e+00
6.897785379387658469e-04 3.842368610941547757e+01 3.383016925940613984e+00
1.249609141291986841e-03 6.083402101264871575e+00 1.000105144819227521e+00
2.263803409521446697e-03 1.070932973676351985e+01 9.858737130368229185e-01
2.438354098268826625e-02 8.088974228880968509e-01 8.255774751367250808e-02
4.417344703140064360e-02 1.683706052739547543e+00 8.849362545372500832e-02
1.449740670372631490e-01 1.296730615081643112e+00 4.286859178754315325e-02
2.626363527653329810e-01 1.667828360779676444e+00 3.612083276418666389e-02
4.757944314009414088e-01 8.519747491823642660e-01 1.918064382229083681e-02
9.284145445194743829e+00 2.721962695391525692e-03 2.454311109132055967e-04
